description,no_sales,country,ranking
"SMALL HEART MEASURING SPOONS",285,Australia,1
"RED DINER WALL CLOCK",253,Australia,2
"IVORY DINER WALL CLOCK",240,Australia,3
"POPART WOODEN PENCILS ASST",12,Belgium,1
"POLYESTER FILLER PAD 30CMx30CM",11,Belgium,2
"REINDEER HEART DECORATION GOLD",4,Belgium,3
"TRIANGULAR POUFFE VINTAGE ",18,"Channel Islands",1
"HANGING SPRING FLOWER EGG LARGE",76,Cyprus,1
"HAPPY EASTER HANGING DECORATION",51,Cyprus,2
"HANGING HEART BASKET",3,Cyprus,3
"SET OF 4 SANTA PLACE SETTINGS",3,Denmark,1
"CHARLOTTE BAG SUKI DESIGN",486,EIRE,1
"SET 3 PAPER VINTAGE CHICK PAPER EGG",221,EIRE,2
"SET 3 SONG BIRD PAPER EGGS ASSORTED",142,EIRE,3
POSTAGE,585,France,1
"ALARM CLOCK BAKELIKE RED ",536,France,2
"SPACEBOY LUNCH BOX ",486,France,3
"JUMBO BAG WOODLAND ANIMALS",484,Germany,1
"MULTI COLOUR SILVER T-LIGHT HOLDER",190,Germany,2
"SET OF SALT AND PEPPER TOADSTOOLS",142,Germany,3
"SCANDINAVIAN 3 HEARTS NAPKIN RING",52,Italy,1
"3 ROSE MORRIS BOXED CANDLES",44,Italy,2
"SCENTED VELVET LOUNGE CANDLE ",14,Italy,3
"EASTER TIN KEEPSAKE",140,Japan,1
"CARD GINGHAM ROSE ",89,Japan,2
"ASSORTED EASTER GIFT TAGS",62,Japan,3
"CREAM FELT EASTER EGG BASKET",117,Lithuania,1
"BLUE FELT EASTER EGG BASKET",73,Lithuania,2
"CHRISTMAS CRAFT HEART STOCKING ",1,Lithuania,3
"PINK FLOCK SUEDE CUSHION COVER ",2,Malta,1
"LARGE CERAMIC TOP STORAGE JAR",104,Netherlands,1
"CLASSIC GLASS SWEET JAR",12,Netherlands,2
"MISELTOE HEART WREATH WHITE",2,Netherlands,3
"RECIPE BOX PANTRY YELLOW DESIGN",615,Norway,1
"NO SINGING METAL SIGN",349,Norway,2
"BOX OF 24 COCKTAIL PARASOLS",323,Norway,3
"FRENCH STYLE STORAGE JAR BONBONS",10,Portugal,1
"MAGAZINE RACK GEBRA ASSORTED ",6,Portugal,2
"CD WALL TIDY RED FLOWERS",4,Portugal,3
"DANISH ROSE PHOTO FRAME",47,Spain,1
"BLOSSOM  IMAGES NOTEBOOK SET",13,Spain,2
"BIRTHDAY BANNER TAPE",1,Switzerland,1
"HOT WATER BOTTLE BABUSHKA LARGE",1,Switzerland,2
"WHITE HANGING HEART T-LIGHT HOLDER",1370,"United Kingdom",1
"REGENCY CAKESTAND 3 TIER",1308,"United Kingdom",2
"JUMBO BAG RED RETROSPOT",1107,"United Kingdom",3
